runtime,config,config_description,pods,cpu_per_pod_m,total_cpu_m,concurrency,target_rps,achieved_rps,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,total_requests,result_dir,avg_cpu_percent,avg_memory_percent,avg_pod_count,latency_per_cpu
go,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,80.0,82.92,10.105551155778894,7.469,23.5332,48.88082000000004,3.982,118.409,4975,results_fibonacci_go_b3,68.28162393162393,22.352430555555557,8.0,10.105551155778894
go,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,100.0,99.28,8.139617696440563,6.528,17.03025,26.71859999999999,3.792,101.436,5956,results_fibonacci_go_b3,68.28162393162393,22.352430555555557,8.0,8.139617696440563
go,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,120.0,122.3,9.472062823657671,7.357,20.879150000000003,34.77562000000001,3.717,84.948,7338,results_fibonacci_go_b3,68.28162393162393,22.352430555555557,8.0,9.472062823657671
go,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,140.0,138.69,9.9413326123528,7.8835,22.049649999999996,36.08358999999998,3.792,110.621,8322,results_fibonacci_go_b3,68.28162393162393,22.352430555555557,8.0,9.9413326123528
go,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,160.0,158.73,10.983080323393532,8.51,25.475050000000024,40.80621000000004,3.762,140.1,9524,results_fibonacci_go_b3,68.28162393162393,22.352430555555557,8.0,10.983080323393532
go,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,180.0,186.35,12.24974494723663,9.321,29.22299999999993,49.02154000000004,3.698,178.323,11182,results_fibonacci_go_b3,68.28162393162393,22.352430555555557,8.0,12.24974494723663
go,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,200.0,188.58,12.109202386212992,9.08,28.9539,49.60302000000004,3.756,171.965,11315,results_fibonacci_go_b3,68.28162393162393,22.352430555555557,8.0,12.109202386212992
go,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,220.0,223.07,14.11909302151823,10.7375,33.64355,57.77108000000003,3.712,190.402,13384,results_fibonacci_go_b3,68.28162393162393,22.352430555555557,8.0,14.11909302151823
go,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,240.0,224.52,15.573874693786651,10.783,39.3915,87.61169999999967,3.544,290.13,13471,results_fibonacci_go_b3,68.28162393162393,22.352430555555557,8.0,15.573874693786651
go,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,260.0,268.67,23.378107865029158,15.1,69.08774999999993,137.98960999999997,3.839,386.015,16122,results_fibonacci_go_b3,68.28162393162393,22.352430555555557,8.0,23.378107865029158
go,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,280.0,269.33,22.0851015470297,15.769,59.07134999999997,109.38669999999998,4.013,232.876,16160,results_fibonacci_go_b3,68.28162393162393,22.352430555555557,8.0,22.0851015470297
go,b3,"Horizontal (8 pods, 125m)",8,125,1000,20,300.0,266.03,24.17323138114626,18.112,60.47659999999995,102.77344000000004,4.061,267.985,15965,results_fibonacci_go_b3,68.28162393162393,22.352430555555557,8.0,24.17323138114626
go,b2,"Balanced (4 pods, 250m)",4,250,1000,10,20.0,20.0,9.47158,8.092,18.2966,24.79937,5.462,34.433,1200,results_fibonacci_go_b2,63.844939271255065,11.507227353238866,4.0,9.47158
go,b2,"Balanced (4 pods, 250m)",4,250,1000,10,40.0,40.0,9.0476975,7.638,16.914899999999996,25.163379999999968,4.931,105.428,2400,results_fibonacci_go_b2,63.844939271255065,11.507227353238866,4.0,9.0476975
go,b2,"Balanced (4 pods, 250m)",4,250,1000,10,60.0,62.36,8.770758417958312,7.099,19.004049999999985,29.867030000000018,4.237,57.693,3742,results_fibonacci_go_b2,63.844939271255065,11.507227353238866,4.0,8.770758417958312
go,b2,"Balanced (4 pods, 250m)",4,250,1000,10,80.0,82.92,10.596741306532664,7.785,24.71680000000004,53.930820000000125,4.404,230.547,4975,results_fibonacci_go_b2,63.844939271255065,11.507227353238866,4.0,10.596741306532664
go,b2,"Balanced (4 pods, 250m)",4,250,1000,10,100.0,99.22,8.474771879724509,6.933,17.53759999999999,26.20523999999996,4.009,102.456,5953,results_fibonacci_go_b2,63.844939271255065,11.507227353238866,4.0,8.474771879724509
go,b2,"Balanced (4 pods, 250m)",4,250,1000,10,120.0,122.33,10.517505177111715,7.583,24.283049999999985,47.628769999999854,4.084,185.957,7340,results_fibonacci_go_b2,63.844939271255065,11.507227353238866,4.0,10.517505177111715
go,b2,"Balanced (4 pods, 250m)",4,250,1000,10,140.0,139.56,9.44450405921681,7.452,20.483,32.287,3.649,158.526,8376,results_fibonacci_go_b2,63.844939271255065,11.507227353238866,4.0,9.44450405921681
go,b2,"Balanced (4 pods, 250m)",4,250,1000,10,160.0,160.23,10.975562929061786,7.8065,27.5068,52.14156000000023,3.842,171.019,9614,results_fibonacci_go_b2,63.844939271255065,11.507227353238866,4.0,10.975562929061786
go,b2,"Balanced (4 pods, 250m)",4,250,1000,10,180.0,187.05,11.060232914550475,8.588,25.2961,42.29198000000006,3.45,124.54,11223,results_fibonacci_go_b2,63.844939271255065,11.507227353238866,4.0,11.060232914550475
go,b2,"Balanced (4 pods, 250m)",4,250,1000,10,200.0,190.28,10.639439218777367,7.832,26.24545,44.85286,3.662,130.589,11418,results_fibonacci_go_b2,63.844939271255065,11.507227353238866,4.0,10.639439218777367
go,b2,"Balanced (4 pods, 250m)",4,250,1000,10,220.0,225.8,14.156913123708296,10.785,33.9802,56.75721000000036,3.55,156.172,13548,results_fibonacci_go_b2,63.844939271255065,11.507227353238866,4.0,14.156913123708296
go,b2,"Balanced (4 pods, 250m)",4,250,1000,10,240.0,228.07,14.483844450938848,10.865,35.090099999999985,54.64695999999999,4.028,213.342,13687,results_fibonacci_go_b2,63.844939271255065,11.507227353238866,4.0,14.483844450938848
go,b2,"Balanced (4 pods, 250m)",4,250,1000,10,260.0,269.12,21.38657986003592,15.343,56.37249999999999,94.46883999999982,3.775,220.457,16147,results_fibonacci_go_b2,63.844939271255065,11.507227353238866,4.0,21.38657986003592
go,b2,"Balanced (4 pods, 250m)",4,250,1000,10,280.0,271.42,21.852353399607267,14.5745,61.368,124.2462999999999,4.018,1101.357,16296,results_fibonacci_go_b2,63.844939271255065,11.507227353238866,4.0,21.852353399607267
go,b2,"Balanced (4 pods, 250m)",4,250,1000,10,300.0,279.43,22.184843194560425,14.2155,67.157,121.40759999999996,3.605,328.335,16766,results_fibonacci_go_b2,63.844939271255065,11.507227353238866,4.0,22.184843194560425
go,b1,"Moderate (2 pods, 500m)",2,500,1000,5,20.0,20.0,8.36868,7.266,15.658649999999993,20.757389999999997,4.83,33.741,1200,results_fibonacci_go_b1,54.09922178988325,5.879134241245136,2.0,8.36868
go,b1,"Moderate (2 pods, 500m)",2,500,1000,5,40.0,39.9,7.818864661654135,6.4985,15.31015,24.12852000000004,4.021,109.369,2394,results_fibonacci_go_b1,54.09922178988325,5.879134241245136,2.0,7.818864661654135
go,b1,"Moderate (2 pods, 500m)",2,500,1000,5,60.0,62.45,8.286398985855351,6.796,16.45359999999999,24.94545999999999,3.902,204.279,3747,results_fibonacci_go_b1,54.09922178988325,5.879134241245136,2.0,8.286398985855351
go,b1,"Moderate (2 pods, 500m)",2,500,1000,5,80.0,82.83,9.003524144869216,6.736,20.973650000000006,41.96691000000003,3.618,123.606,4970,results_fibonacci_go_b1,54.09922178988325,5.879134241245136,2.0,9.003524144869216
go,b1,"Moderate (2 pods, 500m)",2,500,1000,5,100.0,99.25,8.355644332493704,6.764,17.161100000000005,27.052060000000004,3.625,116.906,5955,results_fibonacci_go_b1,54.09922178988325,5.879134241245136,2.0,8.355644332493704
go,b1,"Moderate (2 pods, 500m)",2,500,1000,5,120.0,122.95,9.142690660159955,6.773,21.498399999999997,41.17071999999999,3.033,108.826,7377,results_fibonacci_go_b1,54.09922178988325,5.879134241245136,2.0,9.142690660159955
