runtime,config,config_description,pods,cpu_per_pod_m,total_cpu_m,concurrency,target_rps,achieved_rps,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,total_requests,result_dir,avg_cpu_percent,avg_memory_percent,avg_pod_count
go,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,200.0,95.1,7.208441640378549,5.9585,17.715699999999995,31.10115999999997,0.965,153.018,11412,results_fibonacci_go_b4,40.0304347826087,21.47163722826087,8.0
go,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,220.0,113.05,9.704136960047178,6.395,29.5775,64.34135000000005,1.068,155.313,13566,results_fibonacci_go_b4,40.0304347826087,21.47163722826087,8.0
go,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,240.0,116.1,7.589854733366827,6.073,19.431399999999982,32.9378,1.071,124.533,13933,results_fibonacci_go_b4,40.0304347826087,21.47163722826087,8.0
go,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,260.0,141.11,15.419991615988664,8.166,54.01979999999995,111.17135999999977,1.028,396.36,16937,results_fibonacci_go_b4,40.0304347826087,21.47163722826087,8.0
go,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,280.0,138.53,14.698909790714456,8.174,51.33399999999999,99.43472999999996,1.027,227.983,16628,results_fibonacci_go_b4,40.0304347826087,21.47163722826087,8.0
go,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,300.0,141.88,13.79482979972984,7.479,50.397299999999966,96.55502000000068,1.01,238.421,17027,results_fibonacci_go_b4,40.0304347826087,21.47163722826087,8.0
go,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,20.0,10.0,6.485365,6.3405,14.982149999999995,25.740019999999998,1.668,76.894,1200,results_fibonacci_go_b3,40.07110266159695,11.589531844106464,4.0
go,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,40.0,20.0,6.422939583333334,6.103,15.187399999999991,24.59948999999994,1.088,105.776,2400,results_fibonacci_go_b3,40.07110266159695,11.589531844106464,4.0
go,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,60.0,31.2,6.525700053418804,5.9565,16.0018,29.377320000000044,1.092,58.221,3744,results_fibonacci_go_b3,40.07110266159695,11.589531844106464,4.0
go,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,80.0,41.52,6.659282215977519,5.914,17.42219999999999,28.72408999999996,1.073,59.298,4982,results_fibonacci_go_b3,40.07110266159695,11.589531844106464,4.0
go,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,100.0,49.6,5.887217405913979,5.6575,13.76435,23.03465999999999,1.051,60.913,5952,results_fibonacci_go_b3,40.07110266159695,11.589531844106464,4.0
go,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,120.0,61.48,5.830273824047715,5.433,13.3672,23.238039999999994,1.011,110.079,7377,results_fibonacci_go_b3,40.07110266159695,11.589531844106464,4.0
go,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,140.0,69.69,6.693053336522363,5.6785,16.660199999999996,32.028269999999885,1.068,115.485,8362,results_fibonacci_go_b3,40.07110266159695,11.589531844106464,4.0
go,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,160.0,80.18,6.657087196009146,5.494,17.71744999999999,32.62849999999995,0.972,76.842,9622,results_fibonacci_go_b3,40.07110266159695,11.589531844106464,4.0
go,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,180.0,95.32,6.89130445046778,5.625,18.5668,32.30784,0.915,100.469,11437,results_fibonacci_go_b3,40.07110266159695,11.589531844106464,4.0
go,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,200.0,94.43,7.046194228732792,5.582,19.04464999999998,36.13172000000005,0.948,97.645,11332,results_fibonacci_go_b3,40.07110266159695,11.589531844106464,4.0
go,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,220.0,116.27,6.975141485091744,5.607,17.85645,30.622279999999986,0.995,110.787,13952,results_fibonacci_go_b3,40.07110266159695,11.589531844106464,4.0
go,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,240.0,114.63,8.565039764466416,6.051,24.303,51.30115000000002,1.075,139.433,13756,results_fibonacci_go_b3,40.07110266159695,11.589531844106464,4.0
go,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,260.0,141.99,15.624550783312795,7.992,57.355,114.72839999999984,0.989,275.546,17043,results_fibonacci_go_b3,40.07110266159695,11.589531844106464,4.0
go,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,280.0,141.1,16.40863113447115,8.447,61.57919999999999,108.61932,1.003,216.488,16933,results_fibonacci_go_b3,40.07110266159695,11.589531844106464,4.0
go,b3,"Quad Pod (4 pods, 250m)",4,250,1000,100,300.0,142.8,14.684745579739744,7.593,55.091,102.36943999999971,1.079,254.879,17137,results_fibonacci_go_b3,40.07110266159695,11.589531844106464,4.0
